,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t1__log-sigma-3-0-mm-3D_glcm_ClusterShade,0.07442151276767017,5.551115123125783e-17,1.0,0.7,0.4,344.5
core__t1__wavelet-LLH_gldm_DependenceVariance,0.061546401679587484,2.7508181901613192e-05,1.0,0.9,0.5,346.0
core__t1ce__wavelet-LHH_firstorder_Mean,0.052837260478623214,6.29204122824395e-05,1.0,0.8,0.6,350.0
core__t2__wavelet-LHH_glszm_SmallAreaEmphasis,0.0504080095012505,7.162416916283054e-05,1.0,0.7,0.5,351.0
core__flair__wavelet-LHH_glcm_ClusterShade,0.03249870390186273,0.00036388580854818803,1.0,0.8,0.6,359.0
core__flair__wavelet-HLL_glcm_Correlation,0.035568224581127,5.551115123125783e-17,1.0,0.7,0.4,377.5
core__t1ce__wavelet-HLH_ngtdm_Strength,0.017781220454121473,6.915682940019208e-05,0.6,0.6666666666666666,0.5,391.0
core__t2__original_glrlm_ShortRunLowGrayLevelEmphasis,0.11844903781939939,0.0,1.0,0.8,0.4,400.5
core__t1ce__wavelet-LLH_glcm_MCC,0.017826381156083086,5.551115123125783e-17,1.0,0.5,0.4,403.5
core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.01740151983492899,5.551115123125783e-17,1.0,0.5,0.4,405.5
core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.11056039579484123,0.0,1.0,0.6,0.3,405.5
core__flair__log-sigma-1-0-mm-3D_glcm_ClusterShade,0.09656453236012205,0.0,1.0,0.7,0.4,411.5
core__t1ce__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.003005771715948861,4.287893958843936e-05,1.0,0.6,0.6,414.0
core__t2__log-sigma-3-0-mm-3D_glcm_Imc1,0.09303593266229651,0.0,1.0,0.8,0.4,417.5
core__t2__log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.05699560230533023,0.0,1.0,0.6,0.4,449.5
core__flair__log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.047756774251587655,0.0,1.0,0.6,0.3,456.5
core__t1ce__wavelet-LHL_glcm_InverseVariance,0.047300679452852955,0.0,1.0,0.6,0.3,457.5
core__flair__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.046548554210757626,0.0,1.0,0.6,0.3,458.5
core__t2__wavelet-LLH_glrlm_RunEntropy,0.04483756096506172,0.0,1.0,0.7,0.3,460.5
core__t1__wavelet-LLL_glcm_ClusterShade,0.04334309473401794,0.0,1.0,0.6,0.4,461.5
core__t2__wavelet-LHH_firstorder_Mean,0.03706285775133241,0.0,1.0,0.7,0.4,464.5
core__flair__wavelet-HHH_glcm_Imc2,0.036891941827196295,0.0,1.0,0.7,0.4,465.5
core__t1ce__wavelet-LHL_glcm_Imc1,0.03505073614088458,0.0,0.9,0.5555555555555556,0.3333333333333333,469.5
core__t1__log-sigma-1-0-mm-3D_glcm_ClusterShade,0.03337384970525948,0.0,0.9,0.6666666666666666,0.3333333333333333,471.5
core__t2__log-sigma-2-0-mm-3D_firstorder_Skewness,0.03162236428666101,0.0,0.8,0.5,0.25,473.5
core__t1ce__wavelet-LLL_glszm_ZoneEntropy,0.03047172864111963,0.0,1.0,0.5,0.3,475.5
core__t1__log-sigma-3-0-mm-3D_ngtdm_Complexity,0.02843133709124049,0.0,1.0,0.6,0.3,477.5
core__flair__wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.025951684462770415,0.0,1.0,0.6,0.4,479.5
core__t1__wavelet-LHH_glcm_Imc2,0.021552318570079512,0.0,1.0,0.6,0.4,487.5
core__t1ce__wavelet-HHL_firstorder_Median,0.018297880214209767,0.0,1.0,0.6,0.4,490.5
core__t2__wavelet-HLH_firstorder_Skewness,0.017975325265402672,0.0,1.0,0.5,0.3,492.5
